locationid,day_of_week,hour,norm_value
13,0,10,0.16712047370057992
13,0,11,0.14296974708785318
13,0,12,0.1530430086837011
13,0,13,0.15085544414518132
13,0,14,0.16582820438678786
13,0,15,0.18628854317865348
13,0,16,0.21556199393550152
13,0,17,0.29953869081583134
13,0,18,0.2945654302629284
13,0,19,0.22485967225428227
13,0,20,0.17261384638971988
13,0,21,0.1457503039529681
13,0,22,0.10569139116418001
13,0,23,0.06146170605749001
13,1,0,0.03221266625966615
13,1,1,0.015300632926539383
13,1,2,0.006819373967981938
13,1,3,0.004134269242952374
13,1,4,0.005945315521848061
13,1,5,0.03247488883188795
13,1,6,0.14408602573111573
13,1,7,0.31429711830266194
13,1,8,0.5162470173410515
13,1,9,0.40239818400603033
13,1,10,0.21469909550469038
13,1,11,0.16907357714968974
13,1,12,0.16840231356438642
13,1,13,0.16640656021473177
13,1,14,0.1815056830677577
13,1,15,0.19792833839262422
13,1,16,0.2291367796166023
13,1,17,0.35708197189963564
13,1,18,0.3452286500719506
13,1,19,0.2672161626446022
13,1,20,0.21543648784896016
13,1,21,0.1888091195513744
13,1,22,0.14774434425286667
13,1,23,0.08529811323188347
13,2,0,0.04138994273238671
13,2,1,0.021506345327035218
13,2,2,0.00967629470447155
13,2,3,0.00585740260011149
13,2,4,0.006791583334533496
13,2,5,0.02947158943327854
13,2,6,0.1406072125109695
13,2,7,0.30878713442915395
13,2,8,0.511902460803892
13,2,9,0.4118549074783626
13,2,10,0.2257277148727433
13,2,11,0.1810257513052953
13,2,12,0.176370342816021
13,2,13,0.1706924260837564
13,2,14,0.18294501842287839
13,2,15,0.19608443682708315
13,2,16,0.23166125245774952
13,2,17,0.3395793653828676
13,2,18,0.3188167391678987
13,2,19,0.25723540609546713
13,2,20,0.2128468971641332
13,2,21,0.1916766036148473
13,2,22,0.1586072512489266
13,2,23,0.09659977581648932
13,3,0,0.050413527691927904
13,3,1,0.02675883982798356
13,3,2,0.012887944499433538
13,3,3,0.007177721304237435
13,3,4,0.007592639589496795
13,3,5,0.028641951518950017
13,3,6,0.12855888839942206
13,3,7,0.2886148399153923
13,3,8,0.4792418683813344
13,3,9,0.39261083401331687
13,3,10,0.21753175643360487
13,3,11,0.1755699818577234
13,3,12,0.17918770973748077
13,3,13,0.17133152787965802
13,3,14,0.18302547417990997
13,3,15,0.19597033367783626
