feature,mean_abs_shap
temperature,0.014330619276377743
month,0.013914720041548359
locationid,0.007791069951058039
hour,0.005046220180646112
precipitation,0.003022502524036252
apparent_temperature,0.002715847273716541
day_of_week,0.002634904244601232
is_holiday,0.0024561547539736425
snowfall,0.0001267700986644019
