day_of_week,mae,n
0,0.027169700778808554,6336
2,0.023427470919086427,6336
6,0.023314479963148768,7920
5,0.022341028536313482,7920
4,0.019773507114585274,7920
3,0.01930905939082932,6336
1,0.01909726931958554,6336
