hour,mae,n
18,0.03345935288606543,2046
19,0.0327879031223812,2046
17,0.03167691704514565,2046
16,0.029388334431075146,2046
20,0.029050551923739995,2046
15,0.02855030117071589,2046
13,0.026770636770572342,2046
12,0.02659103882385855,2046
14,0.026269572192409683,2046
11,0.026099704126758726,2046
23,0.025352578903851553,2046
22,0.025110249503251303,2046
21,0.025004339491454683,2046
9,0.02486144606002987,2046
10,0.02432323166429789,2046
8,0.02338207858419048,2046
7,0.01725969619885975,2046
0,0.016930789792158937,2046
1,0.013755890407125304,2046
2,0.010318510807333328,2046
6,0.009008575381785332,2046
3,0.00834463403073705,2046
4,0.008041742218348965,2046
5,0.006559276492351264,2046
