feature,split,gain
locationid,12132,2608.465027840575
hour,12747,2359.533343281888
apparent_temperature,9360,2354.8646251289756
temperature,9590,2248.636975047819
month,6932,1505.5817179825972
day_of_week,7839,958.3580755718285
is_holiday,1312,672.7258828409249
precipitation,2498,470.9403118978953
snowfall,590,255.67508381023072
